id;mediation_role_id;role_name;role_description
1;d6236768-8c07-4496-b87f-04c7a221c0d0;Concrete;high-level
2;39f5a949-0d4f-4332-8fb4-3165c871eb54;Tuna Berkshire Buckinghamshire;invoice back up
3;4f3a2a53-d6c3-40ce-82a7-7cb8a7c9df0c;Crest Berkshire;global withdrawal web-readiness
4;411a409e-3caa-4fb7-8193-6c2f902af0ec;Global;neural Practical Soft Table South Carolina
5;b60eb2b4-f13b-46ef-833a-198f29c9d216;salmon hack;Expanded Views Fresh
6;cddf6079-54b4-4a9f-9fe3-aa8f37902962;azure transmitting Incredible;wireless invoice Intelligent Wooden Shoes
7;57b9f262-cdc3-4d1a-b8ec-75adb46f2a24;Multi-tiered;open-source Engineer turquoise
8;57f7a5b0-70bc-4544-acf3-b49b0442b0c6;parse Belize;Expanded payment orange
9;deec9bef-25ba-40c4-9a8d-dbe6ae78b12d;Orchestrator;fresh-thinking deposit Cambridgeshire
10;ad2b4e97-653c-468e-a387-eeb10036fbd7;Summit harness benchmark;compressing user-facing
